gender,province,edu_level,Vote_Trudeau,Vote_others,age_group
A woman,Ontario,6,0,1,great than 25
A man,Ontario,10,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Ontario,9,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,9,1,0,great than 25
A man,Ontario,7,0,1,great than 25
A woman,Ontario,4,1,0,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Alberta,8,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Quebec,9,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Ontario,10,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Prince Edward Island,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A woman,Quebec,9,1,0,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Ontario,10,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Nova Scotia,4,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A man,Quebec,7,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,7,0,1,great than 25
A woman,British Columbia,5,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Nova Scotia,4,0,1,great than 25
A woman,Quebec,3,1,0,great than 25
A woman,Ontario,5,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Quebec,6,0,1,great than 25
A man,Quebec,9,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Quebec,9,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Ontario,3,0,1,great than 25
A woman,Newfoundland and Labrador,8,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A man,Ontario,9,1,0,great than 25
A man,Ontario,7,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A woman,Alberta,8,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A man,Ontario,6,0,1,less than 25
A woman,Newfoundland and Labrador,8,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Newfoundland and Labrador,6,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A man,Quebec,3,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Quebec,7,0,1,great than 25
A woman,Prince Edward Island,8,0,1,less than 25
A man,Ontario,5,1,0,great than 25
A man,Nova Scotia,4,0,1,great than 25
A man,New Brunswick,10,1,0,great than 25
A man,Ontario,7,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Quebec,7,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Nova Scotia,8,1,0,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,1,1,0,great than 25
A man,Ontario,10,1,0,great than 25
A woman,Quebec,5,1,0,great than 25
A woman,Ontario,9,1,0,great than 25
A woman,Ontario,7,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Ontario,10,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Quebec,5,0,1,great than 25
A man,Ontario,0,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A man,Ontario,3,1,0,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Newfoundland and Labrador,8,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,7,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,4,1,0,great than 25
A woman,Ontario,7,1,0,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Nova Scotia,9,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,4,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Quebec,4,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Quebec,10,0,1,great than 25
A man,Newfoundland and Labrador,8,0,1,great than 25
A man,New Brunswick,4,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Newfoundland and Labrador,8,1,0,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Quebec,7,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Ontario,9,1,0,great than 25
A woman,Ontario,5,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A man,Quebec,6,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A man,Ontario,9,1,0,great than 25
A woman,Nova Scotia,7,1,0,great than 25
A man,Nova Scotia,4,0,1,great than 25
A woman,New Brunswick,8,1,0,great than 25
A woman,Quebec,8,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Ontario,9,0,1,great than 25
A man,Ontario,10,0,1,great than 25
A woman,Quebec,7,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A man,Quebec,10,0,1,great than 25
A woman,Quebec,4,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Newfoundland and Labrador,8,1,0,great than 25
A woman,Ontario,7,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A man,Ontario,9,1,0,great than 25
A woman,Newfoundland and Labrador,6,0,1,great than 25
A man,Quebec,8,1,0,great than 25
A man,Ontario,4,0,1,great than 25
A man,Newfoundland and Labrador,8,0,1,great than 25
A man,Quebec,9,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Quebec,3,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A man,Quebec,7,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Ontario,10,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Quebec,9,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A man,Alberta,6,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,New Brunswick,8,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Quebec,10,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Quebec,8,1,0,less than 25
A woman,Quebec,6,0,1,great than 25
A woman,Nova Scotia,6,0,1,great than 25
A woman,Ontario,10,0,1,great than 25
A man,Ontario,5,1,0,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Manitoba,7,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A woman,Quebec,9,1,0,great than 25
A man,Quebec,9,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Nova Scotia,8,1,0,great than 25
A woman,Quebec,8,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Newfoundland and Labrador,6,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Quebec,9,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Manitoba,4,1,0,great than 25
A man,Ontario,4,1,0,great than 25
A woman,Ontario,10,1,0,great than 25
A woman,Quebec,5,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Ontario,4,1,0,great than 25
A man,New Brunswick,6,1,0,great than 25
A man,Quebec,4,0,1,great than 25
A woman,Ontario,4,1,0,less than 25
A woman,Alberta,8,1,0,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Quebec,10,0,1,great than 25
A woman,Ontario,9,1,0,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Ontario,3,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Quebec,4,1,0,great than 25
A woman,Manitoba,9,1,0,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,Newfoundland and Labrador,6,1,0,great than 25
A man,Ontario,10,0,1,great than 25
A man,Newfoundland and Labrador,3,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Ontario,10,1,0,great than 25
A man,Nova Scotia,8,1,0,great than 25
A woman,Ontario,7,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Nova Scotia,5,0,1,great than 25
A woman,Ontario,7,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Quebec,6,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,4,1,0,great than 25
A man,Quebec,6,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,3,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Quebec,6,1,0,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Ontario,9,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Quebec,4,1,0,great than 25
A woman,Nova Scotia,9,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Quebec,4,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,10,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A man,Ontario,9,1,0,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,10,0,1,great than 25
A woman,Quebec,8,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Nova Scotia,7,0,1,great than 25
A woman,Nova Scotia,3,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Quebec,3,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,10,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,10,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,8,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A man,Nova Scotia,8,0,1,great than 25
A woman,Nova Scotia,8,1,0,great than 25
A woman,Quebec,7,1,0,great than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,4,1,0,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,British Columbia,8,0,1,great than 25
A woman,Nova Scotia,3,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,New Brunswick,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,New Brunswick,3,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Quebec,6,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Ontario,8,0,1,less than 25
A woman,Ontario,5,1,0,great than 25
A woman,Quebec,8,0,1,great than 25
A man,Ontario,10,0,1,great than 25
A man,Nova Scotia,8,0,1,great than 25
A man,Quebec,8,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,9,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Quebec,5,1,0,great than 25
A man,Quebec,4,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Manitoba,8,0,1,great than 25
A woman,Newfoundland and Labrador,6,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Alberta,8,0,1,great than 25
A woman,Nova Scotia,6,0,1,great than 25
A woman,British Columbia,4,0,1,great than 25
A man,Manitoba,4,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,New Brunswick,6,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A man,Ontario,4,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Alberta,3,0,1,less than 25
A man,Ontario,5,0,1,great than 25
A woman,New Brunswick,5,0,1,less than 25
A woman,Quebec,7,1,0,great than 25
A man,Alberta,3,0,1,great than 25
A woman,Nova Scotia,7,1,0,great than 25
A woman,Quebec,7,0,1,great than 25
A man,British Columbia,4,0,1,great than 25
A man,Quebec,4,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Ontario,4,1,0,great than 25
A woman,Alberta,10,0,1,great than 25
A man,Ontario,7,1,0,great than 25
A man,Manitoba,8,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A man,Quebec,9,1,0,great than 25
A man,Saskatchewan,4,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Alberta,8,0,1,great than 25
A woman,Ontario,3,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A man,British Columbia,4,0,1,great than 25
A man,Ontario,5,1,0,great than 25
A man,Quebec,7,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,4,0,1,great than 25
A woman,Quebec,7,1,0,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,4,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Quebec,5,1,0,great than 25
A man,Alberta,9,1,0,great than 25
A man,Nova Scotia,8,0,1,great than 25
A woman,Nova Scotia,8,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A man,Saskatchewan,3,0,1,great than 25
A woman,Saskatchewan,8,1,0,great than 25
A man,Quebec,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A man,Newfoundland and Labrador,2,1,0,great than 25
A man,Nova Scotia,5,0,1,great than 25
A woman,Ontario,1,0,1,great than 25
A woman,New Brunswick,8,1,0,great than 25
A woman,Ontario,9,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Ontario,7,0,1,great than 25
A woman,Manitoba,8,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Quebec,8,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Nova Scotia,8,0,1,great than 25
A woman,Nova Scotia,7,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A woman,British Columbia,3,0,1,great than 25
A woman,Alberta,8,0,1,great than 25
A woman,Yukon,7,1,0,great than 25
A woman,Ontario,9,0,1,great than 25
A woman,Ontario,9,0,1,great than 25
A man,Manitoba,7,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Alberta,4,0,1,great than 25
A man,Saskatchewan,6,0,1,great than 25
A man,British Columbia,7,1,0,great than 25
A man,Manitoba,8,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,4,0,1,great than 25
A man,Alberta,4,0,1,great than 25
A man,Ontario,10,1,0,great than 25
A woman,Ontario,7,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Ontario,2,1,0,great than 25
A man,Alberta,3,0,1,great than 25
A man,Ontario,3,0,1,great than 25
A woman,Alberta,4,0,1,great than 25
A woman,British Columbia,6,0,1,great than 25
A woman,Nova Scotia,5,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A woman,Nova Scotia,6,1,0,great than 25
A woman,Ontario,3,0,1,great than 25
A woman,Nova Scotia,4,1,0,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,7,1,0,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Nova Scotia,8,0,1,great than 25
A woman,Ontario,7,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A woman,Ontario,10,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Manitoba,4,0,1,great than 25
A man,Nova Scotia,4,0,1,great than 25
A man,Manitoba,7,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A man,Ontario,2,0,1,great than 25
A man,Quebec,6,1,0,great than 25
A man,Ontario,4,0,1,great than 25
A man,British Columbia,9,0,1,great than 25
A man,Manitoba,7,0,1,great than 25
A man,Manitoba,4,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Quebec,5,1,0,great than 25
A woman,Alberta,6,0,1,great than 25
A man,Quebec,9,1,0,great than 25
A woman,Nova Scotia,5,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Saskatchewan,4,0,1,great than 25
A man,Manitoba,8,0,1,great than 25
A woman,British Columbia,8,1,0,great than 25
A man,Ontario,4,0,1,great than 25
A man,Manitoba,4,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Alberta,7,0,1,great than 25
A woman,Manitoba,4,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A man,New Brunswick,6,1,0,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Alberta,6,0,1,great than 25
A woman,Alberta,10,0,1,great than 25
A woman,Ontario,4,0,1,less than 25
A man,Alberta,6,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A man,British Columbia,4,0,1,great than 25
A woman,Nova Scotia,6,1,0,great than 25
A woman,Alberta,4,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Quebec,5,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A man,Alberta,6,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Ontario,5,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A woman,Quebec,4,1,0,great than 25
A woman,Manitoba,4,0,1,great than 25
A woman,New Brunswick,5,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A woman,Quebec,6,0,1,great than 25
A man,Manitoba,8,0,1,great than 25
A man,Ontario,2,0,1,great than 25
A woman,British Columbia,5,0,1,less than 25
A woman,Ontario,5,1,0,great than 25
A man,Manitoba,5,1,0,great than 25
A man,Ontario,3,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,British Columbia,9,0,1,great than 25
A man,Quebec,6,1,0,great than 25
A woman,Ontario,9,1,0,great than 25
A man,Alberta,4,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Quebec,5,1,0,great than 25
A woman,Alberta,8,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A man,Alberta,8,0,1,great than 25
A man,Quebec,6,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Saskatchewan,6,1,0,great than 25
A man,Nova Scotia,10,1,0,great than 25
A woman,New Brunswick,9,1,0,great than 25
A man,British Columbia,9,0,1,great than 25
A woman,Manitoba,6,1,0,great than 25
A woman,Alberta,8,0,1,great than 25
A woman,Ontario,6,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,British Columbia,6,0,1,great than 25
A woman,Ontario,9,1,0,great than 25
A man,Alberta,9,0,1,great than 25
A man,British Columbia,3,0,1,great than 25
